epoch,set,metric,score,model
1.0,train,loss,0.7239850854321228,Test 1
2.0,train,loss,0.5774876552292887,Test 1
3.0,train,loss,0.4116717375237143,Test 1
4.0,train,loss,0.3055375569152291,Test 1
5.0,train,loss,0.1834230024674475,Test 1
6.0,train,loss,0.0743655159293216,Test 1
1.0,val,loss,0.6899998246582314,Test 1
2.0,val,loss,0.4601508340699357,Test 1
3.0,val,loss,0.4070012331811448,Test 1
4.0,val,loss,0.4035980241234906,Test 1
5.0,val,loss,0.4855589706476458,Test 1
,test,loss,0.6516708080355875,Test 1
1.0,train,accuracy,0.5288002028595393,Test 1
2.0,train,accuracy,0.7930149999024714,Test 1
3.0,train,accuracy,0.8656640724052509,Test 1
4.0,train,accuracy,0.9243470458579592,Test 1
5.0,train,accuracy,0.9769442331324244,Test 1
6.0,train,accuracy,0.9945481498819904,Test 1
1.0,val,accuracy,0.5287638813034772,Test 1
2.0,val,accuracy,0.7647005279446568,Test 1
3.0,val,accuracy,0.7988803932277444,Test 1
4.0,val,accuracy,0.8038867649736028,Test 1
5.0,val,accuracy,0.8138084835244858,Test 1
,test,accuracy,0.818814855270344,Test 1
1.0,train,precision,0.5,Test 1
2.0,train,precision,0.8333333333333334,Test 1
3.0,train,precision,0.8333333333333334,Test 1
4.0,train,precision,1.0,Test 1
5.0,train,precision,1.0,Test 1
6.0,train,precision,1.0,Test 1
1.0,val,precision,1.0,Test 1
2.0,val,precision,0.25,Test 1
3.0,val,precision,1.0,Test 1
4.0,val,precision,0.75,Test 1
5.0,val,precision,0.75,Test 1
,test,precision,1.0,Test 1
1.0,train,recall,0.5,Test 1
2.0,train,recall,0.8333333333333334,Test 1
3.0,train,recall,0.8333333333333334,Test 1
4.0,train,recall,1.0,Test 1
5.0,train,recall,1.0,Test 1
6.0,train,recall,1.0,Test 1
1.0,val,recall,1.0,Test 1
2.0,val,recall,0.25,Test 1
3.0,val,recall,1.0,Test 1
4.0,val,recall,0.75,Test 1
5.0,val,recall,0.75,Test 1
,test,recall,1.0,Test 1
1.0,train,f1,0.5,Test 1
2.0,train,f1,0.8333333333333334,Test 1
3.0,train,f1,0.8333333333333334,Test 1
4.0,train,f1,1.0,Test 1
5.0,train,f1,1.0,Test 1
6.0,train,f1,1.0,Test 1
1.0,val,f1,1.0,Test 1
2.0,val,f1,0.25,Test 1
3.0,val,f1,1.0,Test 1
4.0,val,f1,0.75,Test 1
5.0,val,f1,0.75,Test 1
,test,f1,1.0,Test 1
1.0,train,loss,0.6364139773475899,Test 2
2.0,train,loss,0.4604447811056102,Test 2
3.0,train,loss,0.3363874431680332,Test 2
4.0,train,loss,0.1587555198030342,Test 2
5.0,train,loss,0.0344705484755655,Test 2
1.0,val,loss,0.52980559462413,Test 2
2.0,val,loss,0.4198025236668111,Test 2
3.0,val,loss,0.3958995057733558,Test 2
4.0,val,loss,0.5081083597412016,Test 2
,test,loss,0.8344727418723678,Test 2
1.0,train,accuracy,0.7252911229445842,Test 2
2.0,train,accuracy,0.8410478475432539,Test 2
3.0,train,accuracy,0.9315056469073671,Test 2
4.0,train,accuracy,0.9904421947841692,Test 2
5.0,train,accuracy,0.9966937796243196,Test 2
1.0,val,accuracy,0.7169579464773348,Test 2
2.0,val,accuracy,0.791780447842709,Test 2
3.0,val,accuracy,0.8088021117786274,Test 2
4.0,val,accuracy,0.8111687602403058,Test 2
,test,accuracy,0.8128982341161478,Test 2
1.0,train,precision,0.6666666666666666,Test 2
2.0,train,precision,0.6666666666666666,Test 2
3.0,train,precision,1.0,Test 2
4.0,train,precision,1.0,Test 2
5.0,train,precision,1.0,Test 2
1.0,val,precision,0.75,Test 2
2.0,val,precision,1.0,Test 2
3.0,val,precision,1.0,Test 2
4.0,val,precision,0.5,Test 2
,test,precision,0.75,Test 2
1.0,train,recall,0.6666666666666666,Test 2
2.0,train,recall,0.6666666666666666,Test 2
3.0,train,recall,1.0,Test 2
4.0,train,recall,1.0,Test 2
5.0,train,recall,1.0,Test 2
1.0,val,recall,0.75,Test 2
2.0,val,recall,1.0,Test 2
3.0,val,recall,1.0,Test 2
4.0,val,recall,0.5,Test 2
,test,recall,0.75,Test 2
1.0,train,f1,0.6666666666666666,Test 2
2.0,train,f1,0.6666666666666666,Test 2
3.0,train,f1,1.0,Test 2
4.0,train,f1,1.0,Test 2
5.0,train,f1,1.0,Test 2
1.0,val,f1,0.75,Test 2
2.0,val,f1,1.0,Test 2
3.0,val,f1,1.0,Test 2
4.0,val,f1,0.5,Test 2
,test,f1,0.75,Test 2
1.0,train,loss,0.6355375813526594,Test 3
2.0,train,loss,0.4547733852857732,Test 3
3.0,train,loss,0.3576128098945164,Test 3
4.0,train,loss,0.2202633655898842,Test 3
5.0,train,loss,0.0562753670427468,Test 3
1.0,val,loss,0.5257098145967314,Test 3
2.0,val,loss,0.4593569930030095,Test 3
3.0,val,loss,0.3875112919980088,Test 3
4.0,val,loss,0.4610151329187587,Test 3
,test,loss,0.6950891835308665,Test 3
1.0,train,accuracy,0.719936801451226,Test 3
2.0,train,accuracy,0.8283593734761152,Test 3
3.0,train,accuracy,0.908849747400862,Test 3
4.0,train,accuracy,0.9781048237657752,Test 3
5.0,train,accuracy,0.9960891021514816,Test 3
1.0,val,accuracy,0.7189604951756782,Test 3
2.0,val,accuracy,0.7875022756235208,Test 3
3.0,val,accuracy,0.8176770435099218,Test 3
4.0,val,accuracy,0.8168578190424176,Test 3
,test,accuracy,0.8195885672674312,Test 3
1.0,train,precision,1.0,Test 3
2.0,train,precision,1.0,Test 3
3.0,train,precision,1.0,Test 3
4.0,train,precision,0.8333333333333334,Test 3
5.0,train,precision,1.0,Test 3
1.0,val,precision,0.6,Test 3
2.0,val,precision,0.6,Test 3
3.0,val,precision,0.9,Test 3
4.0,val,precision,0.65,Test 3
,test,precision,0.95,Test 3
1.0,train,recall,1.0,Test 3
2.0,train,recall,1.0,Test 3
3.0,train,recall,1.0,Test 3
4.0,train,recall,0.8333333333333334,Test 3
5.0,train,recall,1.0,Test 3
1.0,val,recall,0.6,Test 3
2.0,val,recall,0.6,Test 3
3.0,val,recall,0.9,Test 3
4.0,val,recall,0.65,Test 3
,test,recall,0.95,Test 3
1.0,train,f1,1.0,Test 3
2.0,train,f1,1.0,Test 3
3.0,train,f1,1.0,Test 3
4.0,train,f1,0.8333333333333334,Test 3
5.0,train,f1,1.0,Test 3
1.0,val,f1,0.6,Test 3
2.0,val,f1,0.6,Test 3
3.0,val,f1,0.9,Test 3
4.0,val,f1,0.65,Test 3
,test,f1,0.95,Test 3
1.0,train,loss,0.6643512291122587,Test 4
2.0,train,loss,0.4735281006859568,Test 4
3.0,train,loss,0.3433877374441533,Test 4
4.0,train,loss,0.2100040635203323,Test 4
5.0,train,loss,0.0757343157650121,Test 4
1.0,val,loss,0.577594747189351,Test 4
2.0,val,loss,0.4206336770949579,Test 4
3.0,val,loss,0.4003599787068592,Test 4
4.0,val,loss,0.4347341992015228,Test 4
,test,loss,0.6601683863538983,Test 4
1.0,train,accuracy,0.6977782979304425,Test 4
2.0,train,accuracy,0.8370296682076189,Test 4
3.0,train,accuracy,0.9108588370686796,Test 4
4.0,train,accuracy,0.97553006807498,Test 4
5.0,train,accuracy,0.9920416642284512,Test 4
1.0,val,accuracy,0.695385035499727,Test 4
2.0,val,accuracy,0.7876388130347716,Test 4
3.0,val,accuracy,0.80934826142363,Test 4
4.0,val,accuracy,0.8155834698707446,Test 4
,test,accuracy,0.8116238849444748,Test 4
1.0,train,precision,0.5,Test 4
2.0,train,precision,0.8333333333333334,Test 4
3.0,train,precision,0.8333333333333334,Test 4
4.0,train,precision,0.8333333333333334,Test 4
5.0,train,precision,1.0,Test 4
1.0,val,precision,0.75,Test 4
2.0,val,precision,0.25,Test 4
3.0,val,precision,1.0,Test 4
4.0,val,precision,0.75,Test 4
,test,precision,0.5,Test 4
1.0,train,recall,0.5,Test 4
2.0,train,recall,0.8333333333333334,Test 4
3.0,train,recall,0.8333333333333334,Test 4
4.0,train,recall,0.8333333333333334,Test 4
5.0,train,recall,1.0,Test 4
1.0,val,recall,0.75,Test 4
2.0,val,recall,0.25,Test 4
3.0,val,recall,1.0,Test 4
4.0,val,recall,0.75,Test 4
,test,recall,0.5,Test 4
1.0,train,f1,0.5,Test 4
2.0,train,f1,0.8333333333333334,Test 4
3.0,train,f1,0.8333333333333334,Test 4
4.0,train,f1,0.8333333333333334,Test 4
5.0,train,f1,1.0,Test 4
1.0,val,f1,0.75,Test 4
2.0,val,f1,0.25,Test 4
3.0,val,f1,1.0,Test 4
4.0,val,f1,0.75,Test 4
,test,f1,0.5,Test 4
1.0,train,loss,0.6945251635027148,Test 5
2.0,train,loss,0.5333152159846206,Test 5
3.0,train,loss,0.4056472115556932,Test 5
4.0,train,loss,0.3193010485793986,Test 5
5.0,train,loss,0.237404144850639,Test 5
1.0,val,loss,0.6423224624154176,Test 5
2.0,val,loss,0.4550166883149348,Test 5
3.0,val,loss,0.4085419218135886,Test 5
4.0,val,loss,0.4101290416238176,Test 5
,test,loss,0.4411706269394709,Test 5
1.0,train,accuracy,0.6261337702615718,Test 5
2.0,train,accuracy,0.7980182183470849,Test 5
3.0,train,accuracy,0.8601341993875202,Test 5
4.0,train,accuracy,0.905553279887647,Test 5
5.0,train,accuracy,0.946154446329998,Test 5
1.0,val,accuracy,0.6248862188239578,Test 5
2.0,val,accuracy,0.7684325505188422,Test 5
3.0,val,accuracy,0.8005188421627526,Test 5
4.0,val,accuracy,0.808073912251957,Test 5
,test,accuracy,0.8083014746040416,Test 5
1.0,train,precision,0.5,Test 5
